theta,h_eff,s,f_chain,x0,w_chain,weld_cc,weld_pct,f_inner_start,f_inner_end,k_start,k_end
10,35.265396141692996,200.0,0.65,910.0,260.0,60.0,15.0,1.0,1.1,2,5
15,53.58983848622454,200.0,0.65,910.0,260.0,60.0,15.0,1.0,1.1,2,5
20,72.79404685324047,200.00000000000003,0.6500000000000001,910.0,260.00000000000006,60.00000000000003,15.000000000000007,1.0,1.1,2,5
25,93.26153163099971,200.0,0.65,910.0,260.0,60.0,15.0,1.0,1.1,2,5
30,115.47005383792515,200.0,0.65,910.0,260.0,60.0,15.0,1.0,1.1,2,5
45,199.99999999999997,200.0,0.65,910.0,260.0,60.0,15.0,1.0,1.1,2,5
60,200.0,115.47005383792519,0.6,900.0,240.0,124.52994616207481,31.1324865405187,1.0,1.3402419807212302,2,3
70,200.0,72.79404685324049,0.6,900.0,240.0,167.2059531467595,41.801488286689874,1.0,1.0912986066439028,2,3
80,200.0,35.26539614169301,0.6,900.0,240.0,204.734603858307,51.183650964576756,1.0,1.308572216239814,2,2
