theta,h_eff,s,f_chain,f_inner_start,f_inner_end,k_start,k_end,a_c,b_c,x0,press,n_layers
10,35.265396141692996,200.0,0.55,1.0,1.25,2,4,110.00000000000001,17.632698070846498,890.0,20.0,7
15,53.58983848622454,200.0,0.55,1.0,1.25,2,4,110.00000000000001,26.79491924311227,890.0,20.0,7
20,72.79404685324047,200.00000000000003,0.5500000000000002,1.0,1.25,2,4,110.00000000000003,36.39702342662024,890.0,20.0,7
25,93.26153163099971,200.0,0.55,1.0,1.25,2,4,110.00000000000001,46.630765815499856,890.0,20.0,7
30,115.47005383792515,200.0,0.55,1.0,1.25,2,4,110.00000000000001,57.735026918962575,890.0,20.0,7
45,199.99999999999997,200.0,0.55,1.0,1.25,2,4,110.00000000000001,99.99999999999999,890.0,20.0,7
60,200.0,115.47005383792519,0.55,1.0,1.2440169358562927,2,3,110.00000000000001,100.0,890.0,20.0,7
70,200.0,72.79404685324049,0.55,1.0,1.0306369009328689,2,3,110.00000000000001,100.0,890.0,20.0,7
80,200.0,35.26539614169301,0.55,1.0,1.2644904710626974,2,2,110.00000000000001,100.0,890.0,20.0,7
